,agents,priors,env_states,actions,inferences,simulation,subset,run,substep,timestep
0,{0: <model.ActiveGridference object at 0x1268b2790>},"{0: array([1., 0., 0., 0., 0., 0., 0., 0., 0.])}","{0: (0, 0)}",{0: ''},{0: ''},0,0,1,0,0
1,{0: <model.ActiveGridference object at 0x1268b2730>},"{0: array([0.e+00, 0.e+00, 0.e+00, 1.e+00, 1.e-32, 1.e-32, 2.e-32, 2.e-32,
       2.e-32])}","{0: (1, 0)}",{0: 1},"{0: array([1.e+00, 1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,0,1,1,1
2,{0: <model.ActiveGridference object at 0x1268b27c0>},"{0: array([0.e+00, 1.e-32, 2.e-32, 0.e+00, 1.e+00, 2.e-32, 0.e+00, 1.e-32,
       2.e-32])}","{0: (1, 1)}",{0: 3},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,0,1,1,2
3,{0: <model.ActiveGridference object at 0x1268b28e0>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,0,1,1,3
4,{0: <model.ActiveGridference object at 0x1268d30a0>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,0,1,1,4
5,{0: <model.ActiveGridference object at 0x1268d3310>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,0,1,1,5
6,{0: <model.ActiveGridference object at 0x1268d3580>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,0,1,1,6
7,{0: <model.ActiveGridference object at 0x1268d37f0>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,0,1,1,7
8,{0: <model.ActiveGridference object at 0x1268d3a60>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,0,1,1,8
9,{0: <model.ActiveGridference object at 0x1268d3cd0>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,0,1,1,9
10,{0: <model.ActiveGridference object at 0x1268d3f40>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,0,1,1,10
11,{0: <model.ActiveGridference object at 0x1268d3280>},"{0: array([1., 0., 0., 0., 0., 0., 0., 0., 0.])}","{0: (0, 0)}",{0: ''},{0: ''},0,1,1,0,0
12,{0: <model.ActiveGridference object at 0x1268d36d0>},"{0: array([0.e+00, 0.e+00, 0.e+00, 1.e+00, 1.e-32, 1.e-32, 2.e-32, 2.e-32,
       2.e-32])}","{0: (1, 0)}",{0: 1},"{0: array([1.e+00, 1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,1,1,1,1
13,{0: <model.ActiveGridference object at 0x1268d39d0>},"{0: array([0.e+00, 1.e-32, 2.e-32, 0.e+00, 1.e+00, 2.e-32, 0.e+00, 1.e-32,
       2.e-32])}","{0: (1, 1)}",{0: 3},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,1,1,1,2
14,{0: <model.ActiveGridference object at 0x1268d3e20>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,1,1,1,3
15,{0: <model.ActiveGridference object at 0x1268b2880>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,1,1,1,4
16,{0: <model.ActiveGridference object at 0x1268b2910>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,1,1,1,5
17,{0: <model.ActiveGridference object at 0x1268b2a00>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,1,1,1,6
18,{0: <model.ActiveGridference object at 0x1268db160>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,1,1,1,7
19,{0: <model.ActiveGridference object at 0x1268db250>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,1,1,1,8
20,{0: <model.ActiveGridference object at 0x1268db2e0>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,1,1,1,9
21,{0: <model.ActiveGridference object at 0x1268db370>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,1,1,1,10
22,{0: <model.ActiveGridference object at 0x1268b2850>},"{0: array([1., 0., 0., 0., 0., 0., 0., 0., 0.])}","{0: (0, 0)}",{0: ''},{0: ''},0,2,1,0,0
23,{0: <model.ActiveGridference object at 0x1268b2cd0>},"{0: array([0.e+00, 0.e+00, 0.e+00, 1.e+00, 1.e-32, 1.e-32, 2.e-32, 2.e-32,
       2.e-32])}","{0: (1, 0)}",{0: 1},"{0: array([1.e+00, 1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,2,1,1,1
24,{0: <model.ActiveGridference object at 0x1268d34f0>},"{0: array([0.e+00, 1.e-32, 2.e-32, 0.e+00, 1.e+00, 2.e-32, 0.e+00, 1.e-32,
       2.e-32])}","{0: (1, 1)}",{0: 3},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,2,1,1,2
25,{0: <model.ActiveGridference object at 0x1268d3bb0>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,2,1,1,3
26,{0: <model.ActiveGridference object at 0x1268d31f0>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,2,1,1,4
27,{0: <model.ActiveGridference object at 0x1268db220>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,2,1,1,5
28,{0: <model.ActiveGridference object at 0x1268db310>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,2,1,1,6
29,{0: <model.ActiveGridference object at 0x1268db3d0>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,2,1,1,7
30,{0: <model.ActiveGridference object at 0x1268db460>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,2,1,1,8
31,{0: <model.ActiveGridference object at 0x1268db4f0>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,2,1,1,9
32,{0: <model.ActiveGridference object at 0x1268db580>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,2,1,1,10
33,{0: <model.ActiveGridference object at 0x1268b27f0>},"{0: array([1., 0., 0., 0., 0., 0., 0., 0., 0.])}","{0: (0, 0)}",{0: ''},{0: ''},0,3,1,0,0
34,{0: <model.ActiveGridference object at 0x1268d3c40>},"{0: array([0.e+00, 0.e+00, 0.e+00, 1.e+00, 1.e-32, 1.e-32, 2.e-32, 2.e-32,
       2.e-32])}","{0: (1, 0)}",{0: 1},"{0: array([1.e+00, 1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,3,1,1,1
35,{0: <model.ActiveGridference object at 0x1268db0d0>},"{0: array([0.e+00, 1.e-32, 2.e-32, 0.e+00, 1.e+00, 2.e-32, 0.e+00, 1.e-32,
       2.e-32])}","{0: (1, 1)}",{0: 3},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,3,1,1,2
36,{0: <model.ActiveGridference object at 0x1268db3a0>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,3,1,1,3
37,{0: <model.ActiveGridference object at 0x1268db4c0>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,3,1,1,4
38,{0: <model.ActiveGridference object at 0x1268db610>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,3,1,1,5
39,{0: <model.ActiveGridference object at 0x1268db6d0>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,3,1,1,6
40,{0: <model.ActiveGridference object at 0x1268db7c0>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,3,1,1,7
41,{0: <model.ActiveGridference object at 0x1268db850>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,3,1,1,8
42,{0: <model.ActiveGridference object at 0x1268db8e0>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,3,1,1,9
43,{0: <model.ActiveGridference object at 0x1268db970>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,3,1,1,10
44,{0: <model.ActiveGridference object at 0x1268d3940>},"{0: array([1., 0., 0., 0., 0., 0., 0., 0., 0.])}","{0: (0, 0)}",{0: ''},{0: ''},0,4,1,0,0
45,{0: <model.ActiveGridference object at 0x1268b2070>},"{0: array([0.e+00, 0.e+00, 0.e+00, 1.e+00, 1.e-32, 1.e-32, 2.e-32, 2.e-32,
       2.e-32])}","{0: (1, 0)}",{0: 1},"{0: array([1.e+00, 1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,4,1,1,1
46,{0: <model.ActiveGridference object at 0x1268b2fd0>},"{0: array([0.e+00, 1.e-32, 2.e-32, 0.e+00, 1.e+00, 2.e-32, 0.e+00, 1.e-32,
       2.e-32])}","{0: (1, 1)}",{0: 3},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,4,1,1,2
47,{0: <model.ActiveGridference object at 0x1268db1f0>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,4,1,1,3
48,{0: <model.ActiveGridference object at 0x1268db340>},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}","{0: (1, 1)}",{0: 4},"{0: array([1.e-32, 1.e-32, 1.e-32, 1.e-32, 1.e+00, 1.e-32, 1.e-32, 1.e-32,
       1.e-32])}",0,4,1,1,4
